date,cart_location,day_of_week,cups_sold,revenue_usd,avg_temp_f,rain,home_football_game
2026-09-01,rotunda ,Tuesday,197,829.6,48.9,no,no
2026-09-01,Clemons,Tuesday,238,1018.59,48.9,no,no
2026-09-01,Rice Hall,Tuesday,163,699.97,48.9,no,no
2026-09-01,AFC Gym,Tuesday,124,514.61,48.9,no,no
2026-09-02,Rotunda,Wednesday,193,812.23,49.1,no,no
2026-09-02,Clemons,Wednesday,268,1124.8,49.1,no,no
2026-09-02,Rice Hall,Wednesday,132,567.48,49.1,no,no
2026-09-02,AFC Gym,Wednesday,134,570.85,49.1,no,no
2026-09-03,Rotunda,Thursday,173,746.33,69.2,yes,no
2026-09-03,Clemons,Thursday,208,893.17,69.2,yes,no
2026-09-03,Rice Hall,Thursday,123,520.43,69.2,yes,no
2026-09-03,AFC Gym,Thursday,80,329.66,69.2,yes,no
2026-09-04,Rotunda,Friday,185,782.65,60.1,no,no
2026-09-04,Clemons,Friday,252,1081.42,60.1,no,no
2026-09-04,Rice Hall,Friday,158,664.44,60.1,no,no
2026-09-04,AFC Gym,Friday,92,397.89,60.1,no,no
2026-09-05,Rotunda,Saturday,280,1177.36,83.0,no,yes
2026-09-05,Clemons,Saturday,340,1454.88,83.0,no,yes
2026-09-05,Rice Hall,Saturday,218,938.06,83.0,no,yes
2026-09-05,AFC Gym,Saturday,154,656.82,83.0,no,yes
2026-09-06,Rotunda,Sunday,116,501.19,49.6,no,no
2026-09-06,Clemons,Sunday,141,609.91,49.6,no,no
2026-09-06,Rice Hall,Sunday,105,434.28,49.6,no,no
2026-09-06,AFC Gym,Sunday,64,270.6,49.6,no,no
2026-09-07,Rotunda,Monday,202,849.79,53.9,no,no
2026-09-07,Clemons,Monday,247,1055.8,53.9,no,no
2026-09-07,Rice Hall,Monday,163,697.19,53.9,no,no
2026-09-07,AFC Gym,Monday,128,548.05,53.9,no,no
2026-09-08,Rotunda,Tuesday,209,884.63,56.8,no,no
2026-09-08,Clemons,Tuesday,289,1232.45,56.8,no,no
2026-09-08,Rice Hall,Tuesday,155,650.34,720,no,no
2026-09-08,AFC Gym,Tuesday,110,477.79,56.8,no,no
2026-09-09,Rotunda,Wednesday,182,782.65,56.2,no,no
2026-09-09,Clemons,Wednesday,255,1076.78,56.2,no,no
2026-09-09,Rice Hall,Wednesday,133,577.64,56.2,no,no
2026-09-09,AFC Gym,Wednesday,126,546.79,56.2,no,no
2026-09-10,Rotunda,Thursday,205,882.79,71.6,no,no
2026-09-10,Clemons,Thursday,271,1150.52,71.6,no,no
2026-09-10,Rice Hall,Thursday,136,567.19,71.6,no,no
2026-09-10,AFC Gym,Thursday,137,584.09,71.6,no,no
2026-09-11,Rotunda,Friday,237,1009.76,69.0,no,no
2026-09-11,Clemons,Friday,253,1066.83,69.0,no,no
2026-09-11,Rice Hall,Friday,128,544.29,69.0,no,no
2026-09-11,AFC Gym,Friday,95,411.42,69.0,no,no
2026-09-12,Rotunda,Saturday,114,493.26,53.5,no,no
2026-09-12,Clemons,Saturday,154,657.39,53.5,no,no
2026-09-12,Rice Hall,Saturday,86,361.95,53.5,no,no
2026-09-12,AFC Gym,Saturday,71,302.62,53.5,no,no
2026-09-13,Rotunda,Sunday,108,464.41,79.0,no,no
2026-09-13,Clemons,Sunday,142,608.95,79.0,no,no
2026-09-12,Clemons,Saturday,154,657.39,53.5,no,no
2026-09-13,Rice Hall,Sunday,92,398.53,79.0,no,no
2026-09-13,AFC Gym,Sunday,83,356.98,79.0,no,no
2026-09-14,Rotunda,Monday,156,648.1,63.7,yes,no
2026-09-14,Clemons,Monday,207,891.03,63.7,yes,no
2026-09-14,Rice Hall,Monday,102,447.66,63.7,yes,no
2026-09-14,AFC Gym,Monday,103,428.11,63.7,yes,no
2026-09-15,Rotunda,Tuesday,199,856.0,79.3,no,no
2026-09-15,Clemons,Tuesday,262,1116.77,79.3,no,no
2026-09-15,Rice Hall,Tuesday,129,544.47,79.3,no,no
2026-09-15,AFC Gym,Tuesday,100,426.18,79.3,no,no
